Unnamed: 0,Organism,GH_family,EC_number,GenBank_accession,UniProt_accession,PDB
0,caldivirga maquilingensis ic-167,GH12,3.2.1.4,ABW02444.1,A8M9X3,
1,pyrococcus furiosus dsm 3638,GH12,3.2.1.4,AAL80978.1,E7FHY8,"3VGI[A], 3WQ0[A], 3WQ1[A], 3WQ7[A,B], 3WR0[A], 3WT3[A,B], 3WXP[A], 3WY6[A]"
2,saccharolobus shibatae b12,GH12,3.2.1.4,CZS63539.1,A0A1B5G0A1,
3,saccharolobus solfataricus p2,GH12,3.2.1.4,CAC24331.1,Q97VS7,
4,saccharolobus solfataricus p2,GH12,3.2.1.4,AAK41590.1,Q97YG7,
5,thermococcus sp. 2319x1,GH12,3.2.1.4,ALV63957.1,A0A0U3SGP7,
6,thermococcus sp. 2319x1,GH12,3.2.1.4,ALV63957.1,A0A0U3SGP7,"7S8K[A,B]"
7,acidothermus cellulolyticus 11b,GH12,3.2.1.4,ABK52388.1,A0LSH8,"7MKR[A], 7MKS[A]"
8,acidothermus cellulolyticus 11b,GH12,3.2.1.4,ABK52392.1,A0LSI2,
9,bacillus licheniformis dsm 13 = atcc 14580,GH12,3.2.1.4,AAU42138.1,Q65FM6,"2JEM[A,B], 2JEN[A]"
10,bacillus licheniformis gxn151,GH12,3.2.1.4,AAP44491.1,Q7X4S4,
11,mycobacterium tuberculosis h37rv,GH12,3.2.1.4,CAA17206.1,O53438,
12,pectobacterium carotovorum scc3193,GH12,3.2.1.4,AAA24817.1,P16630,
13,pectobacterium carotovorum subsp. carotovorum ly34,GH12,3.2.1.4,AAC02965.2,O31030,
14,pectobacterium sp. scc3193,GH12,3.2.1.4,AFI91032.1,P16630,
15,rhodothermus marinus iti378,GH12,3.2.1.4,AAB65594.1,O33897,"1H0B[A,B], 2BW8[A,B], 2BWA[A,B], 2BWC[A,B], 3B7M[A,B,C,D]"
16,streptomyces halstedii jm8,GH12,3.2.1.4,AAC45429.1,O08468,
17,streptomyces lividans 1326,GH12,3.2.1.4,AAB71950.1,Q54331,"1NLR[A], 2NLR[A]"
18,streptomyces rochei a2,GH12,3.2.1.4,CAA52139.1,Q59963,
19,streptomyces sp. 11ag8,GH12,3.2.1.4,AAF91283.1,Q9KIH1,1OA4[A]
20,streptomyces sp. g12,GH12,3.2.1.4,CCI74016.1,I7L8N7,
21,streptomyces viridosporus t7a,GH12,3.2.1.4,AAD25090.1,Q9X602,
22,streptomyces xylophagus kx6,GH12,3.2.1.4,ACN56471.1,D2D3J0,
23,thermotoga maritima msb8,GH12,3.2.1.4,AGL50456.1,G4FFR2,"3AMH[A,B], 3AMM[A,B], 3AMN[A,B], 3AMP[A,B], 3AMQ[A,B,C,D], 3O7O[A,B], 3VHN[A,B,C,D,E,F,G,H], 3VHO[A,B], 3VHP[A,B]"
24,thermotoga maritima msb8,GH12,3.2.1.4,AAD36592.1,G4FFR3,
25,thermotoga neapolitana,GH12,3.2.1.4,AAC95059.1,O08428,
26,thermotoga neapolitana,GH12,3.2.1.4,AAC95060.1,P96492,
27,thermotoga petrophila rku-1,GH12,3.2.1.4,ABQ47281.1,A5IM58,
28,thermotoga petrophila rku-1,GH12,3.2.1.4,ABQ47282.1,A5IM59,
29,winmispira thermophila dsm 6192,GH12,3.2.1.4,ADN02999.1,E0RQU3,
30,aspergillus aculeatus f-50,GH12,3.2.1.4,BAA00435.1,P22669,"5GM3[A,B], 5GM4[A,B,C,D,E,F,G], 5GM5[A,B,C,D,E,F,G]"
31,aspergillus cervinus vkpm f-612,GH12,3.2.1.4,AYM46706.1,A0A3G2C3I4,
32,aspergillus fumigatus af293,GH12,3.2.1.4,EAL86857.1,Q4WGT4,
33,aspergillus kawachii ifo 4308,GH12,3.2.1.4,AAM77715.1,Q8NJY2,
34,aspergillus kawachii ifo 4308,GH12,3.2.1.4,AAR63633.1,Q12679,
35,aspergillus niger cbs 120.49 / n400,GH12,3.2.1.4,AAE60101.1,O74705,"1KS4[A], 1KS5[A]"
36,aspergillus niger cbs 513.88,GH12,3.2.1.4,CAK46524.1,A2R322,
37,aspergillus niger ho,GH12,3.2.1.4,AIX97359.1,O74705,
38,aspergillus niger vtcc f-021 / vtcc-f021,GH12,3.2.1.4,ADD12042.1,D3YC02,
39,aspergillus oryzae kbn616,GH12,3.2.1.4,BAA22588.1,O13454,
40,aspergillus oryzae rib40,GH12,3.2.1.4,BAE59597.1,Q2UFR8,
41,aspergillus terreus nih2624,GH12,3.2.1.4,EAU30085.1,Q0C8U0,
42,aspergillus usamii e001,GH12,3.2.1.4,AEL12376.1,G1ETN1,
43,bipolaris zeicola,GH12,3.2.1.4,AAF65311.1,Q9P8N6,
44,chaetomium brasiliense cbs 140.50,GH12,3.2.1.4,AAM77701.1,Q8NJZ6,
45,chrysosporium lucknowense,GH12,3.2.1.4,AAQ38148.1,,
46,clonostachys rosea 1003,GH12,3.2.1.4,AAM77706.1,Q8NJZ1,
