Unnamed: 0,Organism,GH_family,EC_number,GenBank_accession,UniProt_accession,PDB
0,cellvibrio japonicus ueda107,GH45,3.2.1.4,ACE82688.1,B3PI35,
1,fibrobacter succinogenes subsp. succinogenes s85,GH45,3.2.1.4,ACX75523.1,C9RIQ2,
2,adineta ricciae,GH45,3.2.1.4,AKC91346.1,A0A0E3Z7U1,
3,ampullaria crossean,GH45,3.2.1.4,ABR92637.1,A7KME9,
4,ampullaria crossean,GH45,3.2.1.4,ABR92638.1,A7KMF0,"5XBU[A], 5XBX[A], 5XC4[A], 5XC8[A], 5XC9[A], 5XCA[A]"
5,anoplophora chinensis,GH45,3.2.1.4,AFN89565.1,K4GMG5,
6,anthonomus grandis,GH45,3.2.1.4,,,
7,aplysia kurodai,GH45,3.2.1.4,BAP19116.1,A0A077JGH0,
8,apriona germarii,GH45,3.2.1.4,AAN78326.1,Q5XQD1,
9,apriona germarii,GH45,3.2.1.4,AAR22385.1,Q6SS52,
10,apriona japonica,GH45,3.2.1.4,AHI15752.1,X2D5K6,
11,apriona japonica,GH45,3.2.1.4,AHI15753.1,X2D6C4,
12,batocera horsfieldi,GH45,3.2.1.4,AKH90729.1,A0A0F7NSK2,
13,bursaphelenchus xylophilus ka4,GH45,3.2.1.4,BAD34544.1,Q6BCL7,
14,bursaphelenchus xylophilus ka4,GH45,3.2.1.4,BAD34548.1,Q6BCL3,
15,bursaphelenchus xylophilus ka4,GH45,3.2.1.4,BAD34546.1,K4F7Y8,
16,chrysomela tremula,GH45,3.2.1.4,QCF40862.1,A0A4D6Q5X5,
17,chrysomela tremulae,GH45,3.2.1.4,ADU33285.1,E7CIS3,
18,chrysosporium lucknowense c1,GH45,3.2.1.4,AAQ38150.1,,
19,corbicula japonica,GH45,3.2.1.4,BAH23793.1,B9X0W0,
20,crinipellis scabella,GH45,3.2.1.4,AAY00851.1,,
21,cryptopygus antarcticus,GH45,3.2.1.4,ACV50414.1,D3GDK4,"5H4U[A,B,C]"
22,diabrotica virgifera virgifera,GH45,3.2.1.4,QCF40868.1,A0A4D6Q326,
23,diabrotica virgifera virgifera,GH45,3.2.1.4,QCF40877.1,A0A4D6Q371,
24,diabrotica virgifera virgifera,GH45,3.2.1.4,AFI56547.1,I1VZE8,
25,fomitopsis palustris ffpri 0507,GH45,3.2.1.4,BAI58030.1,D2YZL5,
26,gastrophysa viridula,GH45,3.2.1.4,AZH23718.1,A0A3Q8M7I7,
27,gloeophyllum trabeum atcc 11539,GH45,3.2.1.4,EPQ56593.1,S7QB86,8BZQ[A]
28,humicola grisea var. thermoidea,GH45,3.2.1.4,BAA74956.1,O93782,1HD5[A]
29,humicola grisea var. thermoidea,GH45,3.2.1.4,BAA74957.1,O93783,
30,humicola insolens dsm 1800,GH45,3.2.1.4,CAB42307.1,P43316,"2ENG[A], 3ENG[A], 4ENG[A]"
31,komagataella phaffii gs115,GH45,3.2.1.4,CAY71902.1,C4R8H7,
32,leptinotarsa decemlineata,GH45,3.2.1.4,QCF40865.1,A0A4D6Q7T7,
33,leptinotarsa decemlineata,GH45,3.2.1.4,ADU33346.1,E7CIY4,
34,leptinotarsa decemlineata,GH45,3.2.1.4,ADU33347.1,E7CIY5,
35,leptinotarsa decemlineata,GH45,3.2.1.4,ADU33349.1,E7CIY7,
36,leptinotarsa decemlineata,GH45,3.2.1.4,ADU33350.1,E7CIY8,
37,macrophomina phaseolina,GH45,3.2.1.4,AAY00850.1,,
38,mastotermes darwiniensis hindgut symbiont sp.,GH45,3.2.1.4,CAD39197.1,Q7YZU0,
39,mastotermes darwiniensis hindgut symbiont sp.,GH45,3.2.1.4,CAD39199.1,Q7YZT8,
40,mastotermes darwiniensis hindgut symbiont sp.,GH45,3.2.1.4,CAD39200.1,Q7YZT7,
41,mastotermes darwiniensis hindgut symbiont sp.,GH45,3.2.1.4,CAD39198.1,Q7YZT9,
42,melanocarpus albomyces,GH45,3.2.1.4,CAD56665.1,Q8J0K8,"1L8F[A], 1OA7[A], 1OA9[A]"
43,mucor circinelloides ferm p-17446,GH45,3.2.1.4,BAD95808.1,Q53VB3,
44,mucor circinelloides ferm p-17446,GH45,3.2.1.4,BAD95809.1,Q53VB2,
45,mycosarcoma maydis,GH45,3.2.1.4,AAB36147.1,P54424,
46,mytilus edulis,GH45,3.2.1.4,CAC59695.1,P82186,1WC2[A]
47,neurospora crassa or74a,GH45,3.2.1.4,CAD70529.1,Q1K5M0,"6MVI[A], 6MVJ[A]"
48,penicillium decumbens 114-2,GH45,3.2.1.4,ACF33814.1,B5AKD1,
49,phaedon cochleariae,GH45,3.2.1.4,CAA76931.1,O97401,
50,phaedon cochleariae,GH45,3.2.1.4,CCJ09450.1,K4QDH6,
51,phaedon cochleariae,GH45,3.2.1.4,CCJ09451.1,K4QDG4,
52,phaedon cochleariae,GH45,3.2.1.4,CCJ09452.1,K7DWA1,
53,phaeosphaeria sp. lh21,GH45,3.2.1.4,AGU16531.1,T1WGL7,
54,phaeosphaeria sp. lh21,GH45,3.2.1.4,AGU16532.1,T1WFT4,
55,phanerochaete chrysosporium k-3,GH45,3.2.1.4,BAG68300.1,B3Y002,"3X2G[A], 3X2H[A], 3X2I[A], 3X2J[A], 3X2K[A], 3X2L[A], 3X2M[A], 3X2N[A], 3X2O[A], 3X2P[A], 4ZM7[A], 5KJO[A], 5KJQ[A]"
56,phycomyces nitens ferm p-17447,GH45,3.2.1.4,BAD77808.1,Q5R230,
57,piromyces sp. equi,GH45,3.2.1.4,CAB92325.1,Q9P868,
58,reticulitermes speratus hindgut protist 130484,GH45,3.2.1.4,BAA98041.1,A4UWR4,
59,rhizophlyctis rosea,GH45,3.2.1.4,AWL24828.1,A0A2U8LMQ2,
60,rhizopus arrhizus ferm bp-6889,GH45,3.2.1.4,BAC53956.1,Q8J1L2,
61,rhizopus arrhizus ferm bp-6889,GH45,3.2.1.4,BAC53987.1,Q8J1L1,
62,rhizopus arrhizus ferm bp-6889,GH45,3.2.1.4,BAC53988.1,Q8J1L0,
63,rhizopus reflexus tp-02,GH45,3.2.1.4,AFQ94052.1,J7K958,
64,sclerotinia sclerotiorum 1980 uf-70,GH45,3.2.1.4,APA05802.1,A0A1D9PTE7,
65,scopulariopsis brevicaulis tof-1212,GH45,3.2.1.4,,Q7M4T4,
66,sitophilus oryzae,GH45,3.2.1.4,ADU33246.1,E7CIN4,
67,sitophilus oryzae,GH45,3.2.1.4,ADU33247.1,E7CIN5,
68,staphylotrichum coccosporum ifo 31817,GH45,3.2.1.4,BAG69187.1,B5BNY1,
69,syncephalastrum racemosum bcc18080,GH45,3.2.1.4,ABU49185.2,A7UGD9,
70,thermochaetoides thermophila ct2,GH45,3.2.1.4,AGY80100.1,V9PD44,
71,thermothelomyces thermophilus atcc 42464,GH45,3.2.1.4,AEO54078.1,G2Q0Y0,
72,thermothielavioides terrestris nrrl 8126,GH45,3.2.1.4,AEO64667.1,G2QVH7,"5GLX[A], 5GLY[A], 5GM9[A]"
73,thielavia arenaria xz7,GH45,3.2.1.4,APQ40634.1,A0A2U7M673,
74,trichoderma reesei,GH45,3.2.1.4,CAA83846.1,P43317,
75,trichoderma viride as 3.3711,GH45,3.2.1.4,AAQ21385.1,Q7Z7X0,
