Unnamed: 0,Organism,GH_family,EC_number,GenBank_accession,UniProt_accession,PDB
0,pyrococcus abyssi ge5,GH5_1,3.2.1.4,CAB49854.1,Q9V052,
1,pyrococcus horikoshii ot3,GH5_1,3.2.1.4,BAA30271.1,O58925,"2ZUM[A], 2ZUN[A,B,C], 3AXX[A,B,C], 3QHM[A,B,C], 3QHN[A,B,C], 3QHO[A,B,C], 3VVG[A,B,C], 3W6L[A,B,C], 3W6M[A,B,C], 4DM1[A,B,C], 4DM2[A,B,C]"
2,thermococcus sp. 2319x1,GH5_1,3.2.1.4,ALV63957.1,A0A0U3SGP7,
3,acetivibrio thermocellus atcc 27405,GH5_1,3.2.1.4,ABN51643.1,A3DCG4,
4,acetivibrio thermocellus atcc 27405,GH5_1,3.2.1.4,ABN51772.1,P04956,
5,acetivibrio thermocellus atcc 27405,GH5_1,3.2.1.4,ABN54070.1,Q05332,
7,acetivibrio thermocellus ncib 10682,GH5_1,3.2.1.4,CAA27266.1,P04956,
8,acetivibrio thermocellus ncib 10682,GH5_1,3.2.1.4,CAA49187.1,Q05332,
9,acidothermus cellulolyticus 11b,GH5_1,3.2.1.4,AAA75477.1,P54583,"1C0D[A,B], 1ECE[A,B], 1VRX[A,B]"
10,azorhizobium caulinodans ors 571,GH5_1,3.2.1.4,BAF87299.1,A8I0V5,
11,caldicellulosiruptor bescii dsm 6725,GH5_1,3.2.1.4,ACM60954.1,B9MKU6,
12,caldicellulosiruptor saccharolyticus,GH5_1,3.2.1.4,CAA31936.1,P10474,
13,caldicellulosiruptor saccharolyticus dsm 8903,GH5_1,3.2.1.4,ABP66692.1,A4XIF7,
14,caldicellulosiruptor sp. tok7b.1,GH5_1,3.2.1.4,AAD30364.1,Q9X3P6,
15,cellulomonas fimi atcc 484,GH5_1,3.2.1.4,AAA23089.1,F4GZL0,
16,cellulomonas flavigena cdbb-531,GH5_1,3.2.1.4,AAD48494.3,Q9S3V3,
17,clavibacter michiganensis subsp. michiganensis ncppb 382,GH5_1,3.2.1.4,CAA44467.2,A5CLK3,
18,clavibacter sepedonicus atcc 33113,GH5_1,3.2.1.4,AAK16222.1,B0RJ54,
19,clostridium saccharoperbutylacetonicum n1-4(hmt),GH5_1,3.2.1.4,AGF55638.1,M1MH26,
20,lachnoclostridium phytofermentans isdg,GH5_1,3.2.1.4,ABX41541.1,A9KN42,
21,paenibacillus polymyxa,GH5_1,3.2.1.4,AAA22631.1,P23548,
22,paenibacillus sp. icgeb2008 / mtcc 5639,GH5_1,3.2.1.4,AEB00655.1,G0YA73,
23,paenibacillus sp. kctc8848p,GH5_1,3.2.1.4,AAL83749.1,Q8RPZ3,
24,ruminiclostridium cellulolyticum h10,GH5_1,3.2.1.4,ACL76673.1,B8I5D7,
25,ruminiclostridium cellulolyticum h10,GH5_1,3.2.1.4,ACL75118.1,B8I7W1,
26,ruminococcus champanellensis 18p13 = jcm 17042,GH5_1,3.2.1.4,CBL16847.1,D4LB52,
27,thermobifida fusca tm51,GH5_1,3.2.1.4,AAP56348.1,Q7X2N2,
28,thermobifida fusca yx,GH5_1,3.2.1.4,AAZ56745.1,Q47LC7,
29,thermophilic anaerobe na10,GH5_1,3.2.1.4,BAA22939.1,O24820,
30,thermus caldophilus gk24,GH5_1,3.2.1.4,AAK60011.1,Q93Q07,
31,xanthomonas campestris pv. campestris,GH5_1,3.2.1.4,CAC18529.1,P19487,"4TUF[A,B,C,D]"
32,xanthomonas campestris pv. campestris str. atcc 33913,GH5_1,3.2.1.4,AAM42791.1,P19487,
33,xanthomonas sp. ec102,GH5_1,3.2.1.4,ACU30064.1,C7FFK1,
34,xylella fastidiosa 9a5c,GH5_1,3.2.1.4,AAF83628.1,Q9PF60,
