Unnamed: 0,Organism,GH_family,EC_number,GenBank_accession,UniProt_accession,PDB
0,cellulomonas fimi atcc 484,GH6,3.2.1.91,AAC36898.1,P50401,7CBD[A]
1,cellulomonas fimi atcc 484,GH6,3.2.1.4,AEE47298.1,F4GZY2,
2,cellulosimicrobium funkei hy-13,GH6,3.2.1.4,ALK04194.1,A0A0P0IZM9,
3,cellvibrio japonicus ueda107,GH6,3.2.1.91,ACE85978.1,B3PKK5,
4,micromonospora cellulolyticum,GH6,3.2.1.4,,Q53488,
5,mycobacterium tuberculosis h37rv,GH6,3.2.1.4,CAA16243.1,Q79G13,"1UOZ[A], 1UP0[A], 1UP2[A], 1UP3[A]"
6,neisseria sicca sb,GH6,3.2.1.4,BAJ21449.1,E1CAJ8,
7,saccharophagus degradans 2-40,GH6,3.2.1.4,ABD81532.1,Q21IE7,
8,streptomyces halstedii jm8,GH6,3.2.1.4,CAA78145.1,P33682,
9,streptomyces sp. m23,GH6,3.2.1.91,BAB83928.1,Q8VLR1,
10,teredinibacter turnerae t7901,GH6,3.2.1.91,ABS72374.1,A9Q634,
11,thermobifida fusca yx,GH6,3.2.1.91,AAA62211.1,Q47SA9,"4AVN[A], 4AVO[A], 4B4F[A,B], 4B4H[A,B]"
12,thermobifida fusca yx,GH6,3.2.1.4,AAC06388.1,P26222,"1TML[A], 2BOD[X], 2BOE[X], 2BOF[X], 2BOG[X]"
13,thermobifida halotolerans yim 90462t,GH6,3.2.1.4,AHN09982.1,X2G0M7,
14,thermobispora bispora / microbispora bispora,GH6,3.2.1.4,,P26414,
15,xanthomonas oryzae pv. oryzae bxo43,GH6,3.2.1.4,,A0A384E106,5XYH[A]
16,xylanimonas pachnodae dsm 12657,GH6,3.2.1.4,AAD54679.1,Q9RQE6,
17,agaricus bisporus d649,GH6,3.2.1.91,AAA50607.1,P49075,
18,aspergillus fumigatus af293,GH6,3.2.1.91,EAL86473.1,Q4WFK4,
19,aspergillus nidulans fgsc a4,GH6,3.2.1.91,ABF50873.1,Q5B2E8,
20,aspergillus terreus nih2624,GH6,3.2.1.91,EAU38839.1,Q0D1J1,
21,bipolaris maydis c4,GH6,3.2.1.91,AAM76664.1,Q8J215,
22,chrysosporium lucknowense,GH6,3.2.1.91,AAQ38151.1,,
23,colletotrichum graminicola m1.001,GH6,3.2.1.91,EFQ33589.1,E3QRV1,
