Unnamed: 0,Organism,GH_family,EC_number,GenBank_accession,UniProt_accession,PDB
0,acetivibrio cellulolyticus cd2 atcc 33288,GH9,3.2.1.4,CAI94607.1,Q50HR0,
1,acetivibrio clariflavus dsm 19732,GH9,3.2.1.4,AEV68817.1,G8LXR4,
2,acetivibrio thermocellus atcc 27405,GH9,3.2.1.4,ABN51281.1,Q02934,
3,acetivibrio thermocellus atcc 27405,GH9,3.2.1.91,ABN51650.1,A3DCH1,
4,acetivibrio thermocellus atcc 27405,GH9,3.2.1.91,ABN51651.1,A3DCH2,"1RQ5[A], 1UT9[A]"
5,acetivibrio thermocellus atcc 27405,GH9,3.2.1.4,ABN51779.1,P26224,
6,acetivibrio thermocellus atcc 27405,GH9,3.2.1.4,ABN51814.1,A3DCY5,"7UNP[A], 7V0I[A,B,C], 7V0J[A,B,C]"
7,acetivibrio thermocellus atcc 27405,GH9,3.2.1.4,ABN51860.1,A0A1Y0K4H1,
8,acetivibrio thermocellus atcc 27405,GH9,3.2.1.4,ABN51980.1,A3DDF1,
9,acetivibrio thermocellus atcc 27405,GH9,3.2.1.4,ABN52060.1,A3DDN1,
10,acetivibrio thermocellus atcc 27405,GH9,3.2.1.4,ABN53959.1,,
11,acetivibrio thermocellus atcc 27405,GH9,3.2.1.4,ABN54011.1,A3DJ82,2YIK[A]
12,acetivibrio thermocellus f1,GH9,3.2.1.4,BAB79196.2,Q8VV73,
13,acetivibrio thermocellus f1,GH9,3.2.1.4,BAA12070.1,A3DD30,
14,acetivibrio thermocellus f1,GH9,3.2.1.4,BAB33148.1,Q9AJF8,"5GXX[A,B], 5GXY[A,B], 5GXZ[A,B], 5GY0[A,B], 5GY1[A,B]"
15,acetivibrio thermocellus f7,GH9,3.2.1.91,CAA56918.2,Q59325,
16,acetivibrio thermocellus f7,GH9,3.2.1.4,CAE51308.1,Q70DK3,
17,acetivibrio thermocellus f7,GH9,3.2.1.4,CAB76935.1,Q9L3J5,
18,acetivibrio thermocellus jw 20 / f7,GH9,3.2.1.91,AAC06139.1,O68438,
19,acetivibrio thermocellus ncib 10682,GH9,3.2.1.4,CAA28255.1,A3DDN1,"1CLC[A], 4CJ0[A], 4CJ1[A]"
20,acetivibrio thermocellus ncib 10682,GH9,3.2.1.4,CAA43035.1,P26224,
21,acetivibrio thermocellus ncib10682 / f7,GH9,3.2.1.4,AAA20892.1,Q02934,2XFG[A]
22,alicyclobacillus acidocaldarius subsp. acidocaldarius dsm 446,GH9,3.2.1.4,ACV59481.1,C8WSJ6,"3EZ8[A], 3GZK[A], 3H2W[A], 3H3K[A], 3RX5[A], 3RX7[A], 3RX8[A], 5E2J[A,B]"
23,alicyclobacillus mali (ex roth et al. 2021) fl 18,GH9,3.2.1.4,MBF8377998.1,A0ABS0F3X2,
24,bacillus licheniformis dsm 13 = atcc 14580,GH9,3.2.1.4,AAU40775.1,Q65JI9,"8U49[A], 8U4A[A], 8U4F[A]"
25,bacillus licheniformis gxn151,GH9,3.2.1.4,AAR29083.1,Q6SYB5,
26,bacillus licheniformis svd1,GH9,3.2.1.4,BAL45507.1,H1AD14,
27,bacillus licheniformis th15,GH9,3.2.1.4,UYB06747.1,,
28,bacillus pumilus c-9,GH9,3.2.1.4,ADP09350.1,E3UTE0,
29,bacillus pumilus c18n2,GH9,3.2.1.4,AEQ94264.1,G8I0B7,
30,bacillus pumilus cl16,GH9,3.2.1.4,AAQ91573.1,Q5YLG1,
31,bacillus pumilus s-27,GH9,3.2.1.4,AAF15367.1,Q9R9H6,
32,bacillus sp. (in: firmicutes) ksm-522,GH9,3.2.1.4,BAA24918.1,P28622,
33,bacillus sp. ac-1,GH9,3.2.1.4,ABM68635.1,A6Y862,
34,bacterium enrichment culture clone cela20,GH9,3.2.1.4,ACR23658.1,C5HG55,
35,butyrivibrio fibrisolvens h17c,GH9,3.2.1.4,CAA39264.1,P23658,
36,caldicellulosiruptor bescii dsm 6725,GH9,3.2.1.4,ACM60955.1,B9MKU7,"4DOD[A], 4DOE[A]"
37,caldicellulosiruptor bescii dsm 6725,GH9,3.2.1.4,ACM60953.1,B9MKU5,
38,caldicellulosiruptor morganii dsm 8990,GH9,3.2.1.4,WAM33659.1,A0ABY7BM55,
39,candidatus reconcilbacillus cellulovorans,GH9,3.2.1.4,PDO10807.1,A0A2A6E235,"5U0H[A], 5U2O[A]"
40,cellulomonas fimi atcc 484,GH9,3.2.1.4,AAA23086.1,F4H3U7,
41,cellulomonas fimi atcc 484,GH9,3.2.1.4,CAA40993.1,P14090,
42,cellulomonas flavigena cdbb-531,GH9,3.2.1.4,AAW62376.2,Q3ZMA8,
43,cellulomonas flavigena dsm 20109,GH9,3.2.1.4,ADG76435.1,A0A1Y0K4G5,
44,cellvibrio japonicus ueda107,GH9,3.2.1.4,ACE85757.1,B3PKK4,
45,clostridium acetobutylicum atcc 824,GH9,3.2.1.4,AAK78892.1,Q97KK3,
46,clostridium cellulovorans,GH9,3.2.1.4,AAT66046.1,Q6DTY2,
47,clostridium cellulovorans 743b,GH9,3.2.1.4,ADL52438.1,D9SRK9,
48,clostridium cellulovorans 743b,GH9,3.2.1.4,AAF06107.1,Q9RGE8,
49,clostridium cellulovorans 743b,GH9,3.2.1.4,AAF06109.1,C5RQ37,
50,clostridium cellulovorans 743b,GH9,3.2.1.4,AAF06111.2,Q9LAJ2,
51,clostridium cellulovorans atcc 35269,GH9,3.2.1.4,AAG59608.1,Q9AQF4,
52,clostridium cellulovorans atcc 35296,GH9,3.2.1.4,AAC38572.2,O65987,
53,clostridium saccharoperbutylacetonicum n1-4(hmt),GH9,3.2.1.4,AGF55631.1,M1MLG4,
54,clostridium saccharoperbutylacetonicum n1-4(hmt),GH9,3.2.1.91,AGF55629.1,M1MCJ0,
56,cytophaga hutchinsonii atcc 33406,GH9,3.2.1.4,ABG58608.1,A0A6N4SQK1,
57,eubacterium cellulosolvens 5,GH9,3.2.1.4,BAB86305.1,Q8RR29,
58,eubacterium cellulosolvens 5,GH9,3.2.1.4,BAE20171.1,Q402U6,
59,fibrobacter succinogenes ar1,GH9,3.2.1.4,,P23665,
60,fibrobacter succinogenes bl2,GH9,3.2.1.4,AAC41523.1,Q59442,
61,fibrobacter succinogenes subsp. succinogenes s85,GH9,3.2.1.4,AAA68129.1,C9RJ28,
62,fibrobacter succinogenes subsp. succinogenes s85,GH9,3.2.1.4,,A0ABN3YYK4,
63,fibrobacter succinogenes subsp. succinogenes s85,GH9,3.2.1.4,ABU45498.1,A0ABM5LIH4,
65,lachnoclostridium phytofermentans isdg,GH9,3.2.1.4,ABX43720.1,A9KT90,
66,myxobacter sp. al-1,GH9,3.2.1.4,AAF19168.1,Q9RAI8,
67,paenibacillus barcinonensis bp-23,GH9,3.2.1.4,CAB38941.1,Q9Z4I1,
68,paenibacillus curdlanolyticus b-6,GH9,3.2.1.4,AND99925.1,A0A172QQ23,
69,paenibacillus sp. bme-14,GH9,3.2.1.4,ACJ68032.1,B7U9C9,
70,pseudomonas sp. sk38,GH9,3.2.1.4,AAG49558.1,Q9APG3,
71,pseudomonas sp. yd-15,GH9,3.2.1.4,AAD01959.1,Q9Z3X7,
72,ruminiclostridium cellulolyticum h10,GH9,3.2.1.4,ACL75999.1,B8I2K6,
73,ruminiclostridium cellulolyticum h10,GH9,3.2.1.4,ACL76568.1,B8I4R4,
74,ruminiclostridium cellulolyticum h10,GH9,3.2.1.4,ACL75133.1,B8I7X6,
75,ruminiclostridium cellulolyticum h10,GH9,3.2.1.4,ACL75605.1,B8I0N0,
76,ruminiclostridium cellulolyticum h10,GH9,3.2.1.91,ACL75111.1,B8I7V4,
77,ruminiclostridium cellulolyticum h10,GH9,3.2.1.4,ACL75110.1,P37700,"1G87[A,B], 1GA2[A,B], 1K72[A,B], 1KFG[A,B]"
78,ruminiclostridium cellulolyticum h10,GH9,3.2.1.4,ACL74618.1,Q0PRN4,
79,ruminiclostridium cellulolyticum h10,GH9,3.2.1.4,ACL75131.1,Q0PRM9,
80,ruminiclostridium cellulolyticum h10,GH9,3.2.1.4,ACL75116.1,B8I7V9,"1IA6[A], 1IA7[A]"
81,ruminiclostridium cellulolyticum h10,GH9,3.2.1.4,ACL75114.1,B8I7V7,
82,ruminiclostridium cellulolyticum h10,GH9,3.2.1.4,ACL75113.1,B8I7V6,
83,ruminococcus champanellensis 18p13 = jcm 17042,GH9,3.2.1.4,CBL16391.1,D4L9U6,
84,ruminococcus champanellensis 18p13 = jcm 17042,GH9,3.2.1.4,CBL17047.1,D4LBQ2,
85,ruminococcus champanellensis 18p13 = jcm 17042,GH9,3.2.1.4,CBL17554.1,D4LD59,
86,ruminococcus champanellensis 18p13 = jcm 17042,GH9,3.2.1.4,CBL17683.1,D4LDI8,
87,ruminococcus champanellensis 18p13 = jcm 17042,GH9,3.2.1.4,CBL17684.1,D4LDI9,
88,ruminococcus champanellensis 18p13 = jcm 17042,GH9,3.2.1.4,CBL18389.1,D4LFJ4,
89,streptomyces reticuli,GH9,3.2.1.4,CAA46570.1,Q05156,
90,thermobifida fusca yx,GH9,3.2.1.4,AAC06387.1,Q08166,
91,thermobifida fusca yx,GH9,3.2.1.4,AAB42155.1,P26221,"1JS4[A,B], 1TF4[A,B], 3TF4[A,B], 4TF4[A,B]"
92,thermobifida halotolerans yim 90462,GH9,3.2.1.4,AEH04391.1,G4XKY7,
93,thermoclostridium stercorarium,GH9,3.2.1.4,,P23659,
94,thermoclostridium stercorarium subsp. stercorarium dsm 8532,GH9,3.2.1.4,AGI39870.1,L7VTG9,
96,xanthomonas campestris pv. campestris,GH9,3.2.1.4,CAB63115.1,Q9RBJ4,
97,allium sativum f. pekinense,GH9,3.2.1.4,BAL41418.1,,
98,ampullaria crossean,GH9,3.2.1.4,ABD24274.1,A0SGJ5,
99,ampullaria crossean,GH9,3.2.1.4,ABD24278.1,A0SGJ9,
100,ampullaria crossean,GH9,3.2.1.4,ABD24275.1,A0SGJ6,
101,arabidopsis thaliana,GH9,3.2.1.4,AAC83240.1,A0A178UPV5,
102,cherax quadricarinatus,GH9,3.2.1.4,AAD38027.1,Q86GS4,
103,coptotermes acinaciformis,GH9,3.2.1.4,AAK12339.1,Q9BMC7,
104,coptotermes formosanus,GH9,3.2.1.4,BAB40693.1,Q9BH22,
105,coptotermes formosanus,GH9,3.2.1.4,BAB40695.1,Q9BLD3,
106,coptotermes formosanus,GH9,3.2.1.4,BAB40696.1,E7EI94,
107,coptotermes formosanus,GH9,3.2.1.4,BAB40697.1,E7EI95,
108,coptotermes formosanus,GH9,3.2.1.4,ADB12483.1,D2X8D7,
109,coptotermes gestroi,GH9,3.2.1.4,AGS32241.1,S5TE16,
110,corbicula japonica,GH9,3.2.1.4,BAF38757.1,A0ZT16,
111,dictyostelium discoideum,GH9,3.2.1.4,AAA52077.1,P22699,
112,eisenia fetida,GH9,3.2.1.4,BAM14716.1,I2FI81,"3WC3[A], 8IHW[A], 8IHX[A], 8IHY[A]"
113,fragaria x ananassa,GH9,3.2.1.4,AAC78293.1,Q9SB85,
114,gossypium hirsutum,GH9,3.2.1.4,AAN04496.2,Q8LJP6,
115,haliotis discus hannai,GH9,3.2.1.4,BAC67186.1,M9QQR8,
116,lathyrus oleraceus,GH9,3.2.1.4,AAA96135.1,Q41012,
117,mastotermes darwiniensis,GH9,3.2.1.4,CAD54726.1,Q8IFU6,
118,mastotermes darwiniensis,GH9,3.2.1.4,CAD54727.1,Q8IFU5,
119,mastotermes darwiniensis,GH9,3.2.1.4,CAD54728.1,Q8IFU4,
120,mastotermes darwiniensis,GH9,3.2.1.4,CAD54729.1,Q8IFU3,
121,mastotermes darwiniensis,GH9,3.2.1.4,CAD54730.1,Q8IFU2,
122,mesocentrotus nudus,GH9,3.2.1.4,BAF62178.1,A5A7P3,
123,nasutitermes takasagoensis,GH9,3.2.1.4,BAA33708.1,O77044,"1KS8[A], 1KSC[A], 1KSD[A]"
124,nasutitermes walkeri,GH9,3.2.1.4,BAA33709.1,O77045,
125,nicotiana tabacum,GH9,3.2.1.4,AAL30454.1,Q93WY9,
126,nicotiana tabacum,GH9,3.2.1.4,AAL30453.1,Q93WZ0,
127,oryza sativa japonica group,GH9,3.2.1.4,BAF04337.1,Q0JPJ1,
128,panesthia cribrata,GH9,3.2.1.4,AAF80585.1,Q9NCE2,
129,perinereis nuntia brevicirris,GH9,3.2.1.4,BAK20401.1,F2Z7L1,"4ZG8[A,B], 4ZH5[A,B]"
130,populus alba,GH9,3.2.1.4,BAA77239.1,Q9XIY8,
131,populus tremula x populus tremuloides,GH9,3.2.1.4,AAT75041.1,Q6DMM4,
132,prunus persica,GH9,3.2.1.4,CAA65597.1,P94114,
133,reticulitermes flavipes,GH9,3.2.1.4,AAU20853.2,Q64I76,
134,reticulitermes speratus,GH9,3.2.1.4,BAA31326.1,O76130,
135,solanum lycopersicum,GH9,3.2.1.4,AAC49704.1,O04890,
136,solanum lycopersicum,GH9,3.2.1.4,AAD08699.1,Q9ZSP9,
137,teleogryllus emma,GH9,3.2.1.4,ABV32557.1,A8CYP6,
138,tribolium castaneum,GH9,3.2.1.4,EFA05721.1,,
