Unnamed: 0,Organism,GH_family,EC_number,GenBank_accession,UniProt_accession,PDB
0,agroathelia rolfsii,GH7,3.2.1.176,BAC81967.1,Q76G53,
1,aspergillus fischeri nrrl 181,GH7,3.2.1.176,EAW16381.1,A1DNL0,
2,aspergillus fumigatus af293,GH7,3.2.1.4,EAL85859.1,Q4WCM9,
3,aspergillus nidulans,GH7,3.2.1.176,AAM54070.1,Q8NK02,
4,aspergillus nidulans fgsc a4,GH7,3.2.1.176,EAA66593.1,Q8NK02,
5,aspergillus nidulans fgsc a4,GH7,3.2.1.4,EAA63386.1,C8VHK3,
6,aspergillus niger cbs 513.88,GH7,3.2.1.176,AAF04492.1,A2QAI7,
7,aspergillus niger cbs 513.88,GH7,3.2.1.176,AAF04491.1,A2QPG2,
8,aspergillus oryzae kbn616,GH7,3.2.1.4,BAA22589.1,F5BB84,
9,bipolaris sorokiniana nd90pr,GH7,3.2.1.4,EMD62476.1,M2SZV6,
10,bispora sp. mey-1 / cgmcc 2500,GH7,3.2.1.4,ACT53749.1,D2DRB6,
11,chrysosporium lucknowense,GH7,3.2.1.176,AAQ38146.1,,
12,coptotermes lacteus symbiont wh2002,GH7,3.2.1.4,BAC07551.1,Q8MXY2,
13,coptotermes lacteus symbiont wh2002,GH7,3.2.1.4,BAC07552.1,Q8MXY1,
14,dichomitus squalens fbcc312,GH7,3.2.1.176,CDJ79665.1,U6NEV9,
15,dictyostelium discoideum ax4,GH7,3.2.1.176,EAL73676.1,Q55FE6,4ZZQ[A]
16,dictyostelium purpureum qsdp1,GH7,3.2.1.176,EGC35742.1,F0ZJZ1,"4ZZP[A,B]"
17,flammulina velutipes fv-1,GH7,3.2.1.176,BAJ07535.1,D5MSJ4,
18,flammulina velutipes fv-1,GH7,3.2.1.176,BAJ07534.1,D5MSJ3,
19,fusarium oxysporum,GH7,3.2.1.4,AAA65586.1,P46237,"1OVW[A,B,C,D], 2OVW[A,B,C,D], 3OVW[A,B], 4OVW[A,B]"
20,fusicoccum sp. bcc4124,GH7,3.2.1.176,ABS82449.1,A7LN91,
21,geotrichum galactomycetum 3c,GH7,3.2.1.176,AIO10971.1,A0A088T0J9,"4ZZT[A], 4ZZU[A], 4ZZV[A], 4ZZW[A], 5AMP[A]"
22,heterobasidion irregulare tc 32-1,GH7,3.2.1.176,,I1SB08,"2XSP[A], 2YG1[A,B]"
23,holomastigotoides mirabile,GH7,3.2.1.4,,Q95P29,
24,holomastigotoides mirabile,GH7,3.2.1.4,,Q95P30,
25,holomastigotoides mirabile,GH7,3.2.1.4,,Q95P31,
26,humicola grisea var. thermoidea,GH7,3.2.1.176,CAA35159.1,P15828,
