Unnamed: 0,Organism,GH_family,EC_number,GenBank_accession,UniProt_accession,PDB
0,acetivibrio alkalicellulosi,GH5_2,3.2.1.4,TYQ14625.1,,8ZVK[A]
1,actinomyces sp. 40,GH5_2,3.2.1.4,AAC06196.1,O66064,
2,bacillus amyloliquefaciens psm 3.1,GH5_2,3.2.1.4,ADC54852.1,D3Y2F0,
3,bacillus amyloliquefaciens umas1002,GH5_2,3.2.1.4,AAL99668.1,Q8RPQ6,
4,bacillus licheniformis,GH5_2,3.2.1.4,AIY72753.1,A0A0A7EZH7,
5,bacillus licheniformis dsm 13 = atcc 14580,GH5_2,3.2.1.4,AAU23613.2,A5A671,
6,bacillus licheniformis gxn151 / b-41361,GH5_2,3.2.1.4,AAP51020.1,Q7X3S6,
7,bacillus sp. (in: firmicutes) 22-28,GH5_2,3.2.1.4,BAA12744.1,Q45554,
8,bacillus sp. (in: firmicutes) kd1014,GH5_2,3.2.1.4,AYV97589.1,,
9,bacillus sp. (in: firmicutes) n186-1,GH5_2,3.2.1.4,CAA83942.1,Q59232,
10,bacillus sp. 5h,GH5_2,3.2.1.4,BAA31712.1,O83012,
11,bacillus sp. 79-23,GH5_2,3.2.1.4,AAC02536.1,O52731,
12,bacillus sp. ksm-635,GH5_2,3.2.1.4,AAA22304.1,P19424,"1G01[A], 1G0C[A]"
13,bacillus sp. ksm-64 / bacillus sp. z-16,GH5_2,3.2.1.4,CAJ00039.1,Q59241,
14,bacillus sp. ksm-n252,GH5_2,3.2.1.4,BAB62295.1,Q93R81,
15,bacillus sp. ksm-s237,GH5_2,3.2.1.4,CAJ00038.1,Q9F216,
16,bacillus sp. nbl420,GH5_2,3.2.1.4,AAK73277.1,Q93LI9,
17,bacillus subtilis,GH5_2,3.2.1.4,AAA22307.1,Q45532,
18,bacillus subtilis a8-8,GH5_2,3.2.1.4,AAO63626.1,Q6Y4Q1,
19,bacillus subtilis bec-1 / y106 / shu-3,GH5_2,3.2.1.4,AAK39540.1,Q93TJ6,
20,bacillus subtilis bme-15,GH5_2,3.2.1.4,ACI15227.1,B6DVJ2,
21,bacillus subtilis bs-5,GH5_2,3.2.1.4,AVD69633.1,A0A2L1GIW1,
22,bacillus subtilis bse616,GH5_2,3.2.1.4,BAA00859.1,P23549,
23,bacillus subtilis chz1,GH5_2,3.2.1.4,AAK94871.1,Q93LD0,
24,bacillus subtilis ck-2,GH5_2,3.2.1.4,CAA47429.1,G1DE47,
25,bacillus subtilis dlg,GH5_2,3.2.1.4,AAA22496.1,P07983,
26,bacillus subtilis dr,GH5_2,3.2.1.4,ABV45393.1,A8D0T0,
27,bacillus subtilis i15,GH5_2,3.2.1.4,ACK38261.1,B7UAM4,
28,bacillus subtilis iari-sp-1,GH5_2,3.2.1.4,AGW99977.1,U3RAX4,
29,bacillus subtilis ja18,GH5_2,3.2.1.4,AAZ22322.1,Q45T78,
30,bacillus subtilis ln,GH5_2,3.2.1.4,ACR59602.1,C5I946,
31,bacillus subtilis nc1 / wrl101,GH5_2,3.2.1.4,BAL46915.1,H3K351,
32,bacillus subtilis subsp. subtilis str. 168,GH5_2,3.2.1.4,CAA82317.1,A0A6M3ZBL5,"3PZT[A,B], 3PZU[A,B], 3PZV[A,B,C,D]"
33,bacillus subtilis subsp. subtilis umc7,GH5_2,3.2.1.4,AGG11030.1,M1R5G7,
34,bacterium enrichment culture clone cela10,GH5_2,3.2.1.4,ACR23656.1,C5HG53,
35,butyrivibrio fibrisolvens a46,GH5_2,3.2.1.4,AAA20893.1,P22541,
36,caldanaerobacter subterraneus subsp. tengcongensis mb4,GH5_2,3.2.1.4,AAM23649.1,Q8RCQ7,
37,caldicellulosiruptor bescii dsm 6725,GH5_2,3.2.1.4,CAB01405.2,B9MPF9,
38,caldicellulosiruptor kronotskyensis 2002,GH5_2,3.2.1.4,ADQ46879.1,E4SGK4,
39,caldicellulosiruptor saccharolyticus dsm 8903,GH5_2,3.2.1.4,ABP66297.1,A4XHB2,5ECU[A]
40,caldicellulosiruptor sp. f32,GH5_2,3.2.1.4,AFO70071.1,I7CBM8,
41,cellulophaga sp. qy3,GH5_2,3.2.1.4,ADB80152.1,K9J9W6,
42,cellvibrio japonicus ueda107,GH5_2,3.2.1.4,ACE84076.1,B3PCS3,"8BQA[A], 8BQC[A]"
43,cellvibrio mixtus atcc 12120,GH5_2,3.2.1.4,AAB61462.2,O07653,
44,clostridium cellulovorans,GH5_2,3.2.1.4,AAB40891.1,P94622,
45,cytophaga hutchinsonii atcc 33406,GH5_2,3.2.1.4,ABG58383.1,A0A6N4SQ01,
46,cytophaga hutchinsonii atcc 33406,GH5_2,3.2.1.4,ABG59366.1,A0A6N4ST27,5IHS[A]
47,dickeya chrysanthemi py35,GH5_2,3.2.1.4,AAF18152.1,Q9REW0,
48,dickeya dadantii 3937,GH5_2,3.2.1.4,ADM99099.1,P07103,"1EGZ[A,B,C]"
49,evansella cellulosilytica dsm 2522,GH5_2,3.2.1.4,ADU28720.1,D2LVP1,
50,evansella cellulosilytica dsm 2522,GH5_2,3.2.1.4,ADU28719.1,D2LVP0,
51,evansella cellulosilytica dsm 2522,GH5_2,3.2.1.4,ADU31612.1,D2LQZ9,
52,fibrobacter succinogenes subsp. succinogenes s85,GH5_2,3.2.1.4,AAC06197.1,O66065,
53,fibrobacter succinogenes subsp. succinogenes s85,GH5_2,3.2.1.4,ABU45500.1,A0ABN3YZV6,
54,geobacillus sp. 70pc53,GH5_2,3.2.1.4,ACJ60856.1,C5H6X3,"4XZB[A], 4XZW[A]"
